event,url,date,title,sentence,Deaths,Injury,Location,Date,Time
assault,https://www.pennlive.com/news/2020/09/armed-and-dangerous-man-with-ties-to-carlisle-wanted-in-morning-attack-police.html,2020-09-01,‘Armed and dangerous’ man with ties to Carlisle wanted in morning attack: police,A person not identified by police had suffered several injuries from a knife and was pistol-whipped. ,0,1,0,0,0
assault,https://www.pennlive.com/news/2020/09/armed-and-dangerous-man-with-ties-to-carlisle-wanted-in-morning-attack-police.html,2020-09-01,‘Armed and dangerous’ man with ties to Carlisle wanted in morning attack: police,"Officers went to the first block of West Willow Street on Tuesday morning, for a report of an assault, according to police.",0,0,1,1,1
assault,https://www.pennlive.com/news/2020/09/armed-and-dangerous-man-with-ties-to-carlisle-wanted-in-morning-attack-police.html,2020-09-01,‘Armed and dangerous’ man with ties to Carlisle wanted in morning attack: police,Police are looking for a man they say was involved in a violent attack in Carlisle on Tuesday morning.,0,0,1,1,1
hurricane,https://www.wdtn.com/news/i-was-scared-for-him-louisiana-woman-loses-home-gives-birth-during-hurricane-laura/,2020-09-01,"‘I was scared for him’: Louisiana woman loses home, gives birth during Hurricane Laura","Breaux, of Lake Charles, was forced to go to a local hospital to give birth during the deadly hurricane.",0,0,1,0,0
unrest,https://www.thedailybeast.com/family-protests-after-los-angeles-deputy-kills-black-man-dijon-kizzee-during-bicycle-violation-stop,2020-09-01,"‘I’m Sad, I’m Mad’: L.A. Reels After Deputy Kills Black Man During Bike Violation Stop","Ahmira Irene Roberson, a 22-year-old neighbor, told The Daily Beast that the Monday afternoon incident was “extremely traumatic” for a community that is used to heavy police presence.",0,0,0,1,1
unrest,https://www.thedailybeast.com/family-protests-after-los-angeles-deputy-kills-black-man-dijon-kizzee-during-bicycle-violation-stop,2020-09-01,"‘I’m Sad, I’m Mad’: L.A. Reels After Deputy Kills Black Man During Bike Violation Stop","Almost immediately after the incident, hundreds of demonstrators took to the streets in outrage, chanting for justice as they marched to the South L.A. Sheriff’s Station on Imperial Highway.",0,0,1,0,0
unrest,https://www.thedailybeast.com/family-protests-after-los-angeles-deputy-kills-black-man-dijon-kizzee-during-bicycle-violation-stop,2020-09-01,"‘I’m Sad, I’m Mad’: L.A. Reels After Deputy Kills Black Man During Bike Violation Stop",Family members say Dijon Kizzee was fatally shot by Los Angeles Sheriff’s Department deputies after they attempted to stop him while he was riding a bicycle in violation of vehicle codes. ,1,0,0,0,0
unrest,https://www.thedailybeast.com/family-protests-after-los-angeles-deputy-kills-black-man-dijon-kizzee-during-bicycle-violation-stop,2020-09-01,"‘I’m Sad, I’m Mad’: L.A. Reels After Deputy Kills Black Man During Bike Violation Stop",The family of a 29-year-old Black man fatally shot by deputies during a traffic stop over a bicycle code violation on Monday has demanded accountability and justice amid a fresh wave of protests.,1,0,0,1,0
assault,https://losangeles.cbslocal.com/2020/09/01/deputies-removed-from-field-pending-review-after-fatally-shooting-bicyclist-in-south-la/,2020-09-01,‘No Attempt At De-escalation’: New Security Footage Shows At Least 18 Shots Fired At South LA Bicyclist By Deputies,Kizzee was killed by deputies after they attempted to stop him for a code violation while he was riding his bicycle near West 109th Place and South Budlong Avenue at around 3:15 p.m. Monday.,1,0,1,1,1
assault,https://losangeles.cbslocal.com/2020/09/01/deputies-removed-from-field-pending-review-after-fatally-shooting-bicyclist-in-south-la/,2020-09-01,‘No Attempt At De-escalation’: New Security Footage Shows At Least 18 Shots Fired At South LA Bicyclist By Deputies,"Kizzee’s family has retained civil rights attorney Ben Crump — most recently known for representing the family of Jacob Blake, who was shot by police in Kenosha, Wisconsin, setting off a renewed round of national protests.",1,0,1,0,0
assault,https://losangeles.cbslocal.com/2020/09/01/deputies-removed-from-field-pending-review-after-fatally-shooting-bicyclist-in-south-la/,2020-09-01,‘No Attempt At De-escalation’: New Security Footage Shows At Least 18 Shots Fired At South LA Bicyclist By Deputies,"New security footage obtained by CBSLA gives an idea of how many times deputies fired their guns at 29-year-old Dijon Kizzee Monday afternoon, after stopping him for an alleged code violation while he was riding his bicycle.",0,1,0,1,1
assault,https://losangeles.cbslocal.com/2020/09/01/deputies-removed-from-field-pending-review-after-fatally-shooting-bicyclist-in-south-la/,2020-09-01,‘No Attempt At De-escalation’: New Security Footage Shows At Least 18 Shots Fired At South LA Bicyclist By Deputies,"On the night of Aug. 15, 32-year-old Anthony McClain was killed by Pasadena police following a traffic stop.",1,0,0,1,0
assault,https://losangeles.cbslocal.com/2020/09/01/deputies-removed-from-field-pending-review-after-fatally-shooting-bicyclist-in-south-la/,2020-09-01,‘No Attempt At De-escalation’: New Security Footage Shows At Least 18 Shots Fired At South LA Bicyclist By Deputies,"Protestors gathered at the scene of the shooting Tuesday night for the second day in a row, marching to the South Los Angeles Sheriff’s station located at 1310 W. Imperial Highway.",0,0,1,1,1
assault,https://losangeles.cbslocal.com/2020/09/01/deputies-removed-from-field-pending-review-after-fatally-shooting-bicyclist-in-south-la/,2020-09-01,‘No Attempt At De-escalation’: New Security Footage Shows At Least 18 Shots Fired At South LA Bicyclist By Deputies,This shooting comes after the fatal shooting of a Black man in Pasadena also sparked major protests.,1,0,1,0,0
assault,https://www.news4jax.com/news/local/2020/09/01/police-investigate-double-shooting-in-northwest-jacksonville/,2020-09-01,"1 dead, 1 hospitalized in Northwest Jacksonville shooting","According to the Sheriff’s Office, a 38-year-old man was found dead at the scene. ",1,0,0,0,0
assault,https://www.news4jax.com/news/local/2020/09/01/police-investigate-double-shooting-in-northwest-jacksonville/,2020-09-01,"1 dead, 1 hospitalized in Northwest Jacksonville shooting",Another man was hospitalized with life-threatening injuries.,0,1,0,0,0
assault,https://www.news4jax.com/news/local/2020/09/01/police-investigate-double-shooting-in-northwest-jacksonville/,2020-09-01,"1 dead, 1 hospitalized in Northwest Jacksonville shooting",At least a dozen officers responded to the scene of the shooting near the intersection of Division Street and Martin Luther King Jr. Parkway around 5 p.m.,0,0,1,0,1
assault,https://www.news4jax.com/news/local/2020/09/01/police-investigate-double-shooting-in-northwest-jacksonville/,2020-09-01,"1 dead, 1 hospitalized in Northwest Jacksonville shooting",The Jacksonville Sheriff’s Office is investigating a double shooting in Northwest Jacksonville on Tuesday evening.,0,0,1,1,1
assault,https://www.syracuse.com/crime/2020/09/1-dead-1-injured-in-shooting-in-syracuses-skunk-city.html,2020-09-01,"1 dead, 1 injured in shooting in Syracuse’s Skunk City",One man is dead and another man is hospitalized after they were shot Monday night in Syracuse.,1,1,1,1,1
assault,https://www.syracuse.com/crime/2020/09/1-dead-1-injured-in-shooting-in-syracuses-skunk-city.html,2020-09-01,"1 dead, 1 injured in shooting in Syracuse’s Skunk City","Around the same time, police were alerted that a 26-year-old man arrived at Crouse Hospital in a private vehicle with gunshot wounds to the hip and leg.",0,1,1,0,0
assault,https://www.syracuse.com/crime/2020/09/1-dead-1-injured-in-shooting-in-syracuses-skunk-city.html,2020-09-01,"1 dead, 1 injured in shooting in Syracuse’s Skunk City",Police were called to the 200 block of Bradley Street in the city’s Skunk City neighborhood around 9:44 p.m.,0,0,1,0,1
assault,https://www.syracuse.com/crime/2020/09/1-dead-1-injured-in-shooting-in-syracuses-skunk-city.html,2020-09-01,"1 dead, 1 injured in shooting in Syracuse’s Skunk City","When they arrived, they found a 34-year-old man shot in the mid-section, said Syracuse Police Sgt. Matthew Malinowski, a department spokesman.",0,1,0,0,0
assault,https://www.al.com/crime/2020/09/1-dead-1-wounded-in-tuesday-night-mobile-shooting.html,2020-09-01,"1 dead, 1 wounded in Tuesday night Mobile shooting",Mobile police say one person was shot to death Tuesday night while another was wounded in incidents around 8 p.m.,1,1,0,1,1
assault,https://www.al.com/crime/2020/09/1-dead-1-wounded-in-tuesday-night-mobile-shooting.html,2020-09-01,"1 dead, 1 wounded in Tuesday night Mobile shooting",He was pronounced dead at the scene.,1,0,0,0,0
